mean,std,variance,rms,min,max,range,low_freq_ratio,high_freq_ratio,label
-0.027879999999999995,0.5726436113325635,0.3279207056,0.5733218991107876,-0.86,4.01,4.87,0.012650116057209308,0.10055207603236357,1
-0.016539999999999996,0.8891730025141339,0.7906286284,0.8893268240641344,-0.93,4.54,5.47,0.005325543889348593,0.10436854907049582,1
-0.07572000000000002,0.7765684011083634,0.6030584816000001,0.7802512415882463,-1.2,5.0,6.2,0.024315726670294368,0.08659629376124678,1
0.030579999999999993,0.767954857787878,0.5897546636,0.7685634651738267,-0.96,4.47,5.43,0.007200831312769658,0.07000313506507176,1
-0.05696,1.0499582650753314,1.1024123583999998,1.0515021635736181,-1.24,5.22,6.46,0.011049465799144434,0.08382411875797251,1
-0.002480000000000018,0.7991221743888728,0.6385962495999999,0.7991260226021926,-1.05,5.24,6.29,0.000860602005824864,0.09314878133854308,1
0.15278,1.0243361126114807,1.0492644716,1.035667031434331,-1.23,5.41,6.640000000000001,0.039632092107332866,0.0821399650538995,1
-0.06131999999999999,0.7995898058379683,0.6393438576,0.8019376534369739,-1.21,5.01,6.22,0.019115825921501843,0.08693885207933229,1
0.1456,0.9375006346664518,0.87890744,0.9487395849230704,-0.98,4.9,5.880000000000001,0.0344343379754525,0.08785999747820122,1
-0.13254,0.854275452298613,0.7297865483999999,0.8644960381632758,-1.23,5.18,6.41,0.03397778502549673,0.07271396016250697,1
0.0268,0.1843609503121526,0.033988960000000006,0.18629868491215928,-0.43,0.63,1.06,0.04323153118156218,0.03007574999351279,1
-0.040100000000000004,0.12128887005822092,0.01471099,0.12774584141959378,-0.29,0.35,0.6399999999999999,0.08847572934699578,0.04510558635036878,1
-0.008460000000000002,0.07816027379685923,0.006109028400000001,0.0786167920993982,-0.16,0.29,0.44999999999999996,0.024775701062980066,0.07140112820789679,1
0.0629,0.09755506137561495,0.00951699,0.11607497576997379,-0.12,0.3,0.42,0.14971593822371562,0.05417441809684788,1
-0.062259999999999996,0.10134837147186924,0.0102714924,0.11894452488450236,-0.27,0.16,0.43000000000000005,0.15028138618032313,0.05299324252201527,1
0.01786,0.09385744722716466,0.0088092204,0.09554161397003925,-0.13,0.35,0.48,0.047977923212721756,0.055522234668089886,1
0.03742,0.1167576275880938,0.013632343600000001,0.12260750384866335,-0.36,0.34,0.7,0.08072035081157514,0.06224464628354062,1
-0.030180000000000002,0.10555267689641983,0.0111413676,0.10978251226857583,-0.26,0.27,0.53,0.06901072306407245,0.05090104451258207,1
0.07124,0.35161578804143595,0.12363366240000001,0.3587600869662064,-0.44,1.88,2.32,0.048976020381544194,0.08927630597020209,1
-0.030100000000000002,0.2494229139433665,0.06221179000000001,0.25123256158388385,-0.44,1.65,2.09,0.026609496071999982,0.0931734066739564,1
-0.005360000000000001,0.3428989215497768,0.1175796704,0.34294081121966224,-0.29,1.83,2.12,0.004125030179114682,0.10161186122599737,1
-0.01682000000000001,0.25342550700353744,0.0642244876,0.2539830703019396,-0.31,1.74,2.05,0.015566868412689807,0.09775728421056412,1
0.011839999999999996,0.335230986634589,0.1123798144,0.33544000953970887,-0.38,1.72,2.1,0.008813548139465626,0.10015868515042675,1
-0.00026000000000000513,0.21736727536591152,0.0472485324,0.2173674308630435,-0.33,1.52,1.85,0.00028331093260474787,0.09962480140444134,1
0.015440000000000004,0.3546367245506309,0.12576720640000003,0.3549726750047108,-0.47,1.83,2.3,0.011256868035964184,0.09946664159574192,1
-0.03306,0.2228507042842809,0.04966243640000001,0.2252895914151384,-0.38,1.61,1.9900000000000002,0.03259209729175297,0.10474297489675762,1
0.021880000000000004,0.35510345760073925,0.12609846560000001,0.35577689638311255,-0.48,2.2,2.68,0.011217720517882,0.07409704202403629,1
-0.014979999999999997,0.3950430351240229,0.1560589996,0.3953269532930938,-0.5,2.17,2.67,0.00708560945596729,0.08046073219679703,1
-0.005480000000000003,0.2750730259403855,0.0756651696,0.2751276067573009,-0.4,1.9,2.3,0.005049754749957602,0.09984368880095364,1
-0.011600000000000001,0.4472778107619469,0.20005743999999998,0.447428206531506,-0.52,2.16,2.68,0.0074202535629722,0.10980484655317893,1
0.004479999999999997,0.2841125298187322,0.0807199296,0.284147848839297,-0.44,1.93,2.37,0.004008921302855066,0.0987206775519894,1
0.06962,0.4098278365362704,0.16795885559999998,0.4156991700737446,-0.41,2.18,2.5900000000000003,0.040643679844166086,0.11405612057367556,1
-0.05034,0.32580927611104016,0.10615168439999999,0.32967529479777524,-0.45,2.09,2.54,0.03526955169016282,0.08391682192380766,1
